"business_id","stars","averageworkingtime","totalworkingtime","days"
"c9UmJiX2G7hKMpivZ3h1oQ",4.5,12.6428571428571,88.5,7
"0VDcJitRHh5uJnkjymu_6A",2,NA,NA,NA
"_EVOLAjWYEfSOO_smbBxaA",2.5,11.25,78.75,7
"krc4tD-xlMKDdjCJVjG42g",4.5,6.71428571428571,47,7
"jd1rD7jr-_zI46Oxh5lDLA",3.5,15.5,93,6
"09pf_DnQV5Y5y2reoIPXlw",3.5,13.5714285714286,95,7
"B1dCyA21u1mG1bcrq9TTYg",3,11.2857142857143,79,7
"V2TaLceKiGwy-y7bAGzPuQ",1.5,NA,NA,NA
"jz-LsE7pZd10iYbCYmGQeA",4,9.71428571428571,68,7
"-WVF5DKZeEWlMK8Cucto-A",3.5,6.6,33,5
"R2hVz1386VvoPFLdUbJyDQ",3.5,12.5,75,6
"eY3A2vtjccBfMXaybhS0yQ",3.5,NA,NA,NA
"cvM7SnDFJdaUGJXxzz_Z2Q",3,NA,NA,NA
"R-GbmmHHfAyPo1qs4jo0TA",3,11.4285714285714,80,7
"fYUS9YkYPccCx9eaYc9t5g",4,8,32,4
"hFkY-4JhWPc2LDRj2eyBSA",3,NA,NA,NA
"FE135tFrIhxrtAkf6-A1Rw",4,NA,NA,NA
"z4CYPDxL_L74GnaD35a9Yw",3.5,10.5,73.5,7
"24hc1g8a7besgI0tMb3v7w",3.5,10.8571428571429,76,7
"TYZIMuHwhZo_Hizenmf8Pg",3,15,105,7
"by7BOr074_BKz7hkRIi9WQ",3.5,NA,NA,NA
"DtIcA3yhAPrntUBfRJNwuw",5,9,54,6
"I5TgzHGJI3jvJq6xdauLPA",3.5,5.6,28,5
"lK_iVjCur58if_XcbENGqg",4,10.1428571428571,71,7
"WAGESBe_9h_au35adjvoQQ",4.5,12.7142857142857,89,7
"dmo24Ig-qTb2BVggAmh05A",4,4.66666666666667,14,3
"hNmSL-HfN_IdPlWXP1ILEw",4.5,9.8,49,5
"ZL6BK8wweb-8ncJ7kFIG-A",4.5,12.8571428571429,90,7
"b6vi3Ub0tbGzGtG-pVgJfQ",4.5,11,66,6
"dJ0R-XT78LUQeNHQkD-G9g",3.5,7,49,7
"BxWRVYVepLmhTf3TAlRUlw",3.5,12,84,7
"Xdoqt46KMRBiaWWMa41m1A",4,16.2857142857143,114,7
"5crOt_2vpHfFeGOrEeROQA",4.5,11.7142857142857,82,7
"uarJTrBc8VsXlZm9qlQVAw",5,9.66666666666667,58,6
"uFGmCUqJc0vy57IF_26u1g",4,10.6666666666667,64,6
"RcsfZ7IrWSNvM1AYcLmWNw",3,17,119,7
"0IfrcGbFzQvn9w8bl9GKDg",4.5,9.33333333333333,56,6
"HmFmaoQ1LrjvNZJSy-R7Iw",4.5,NA,NA,NA
"PbOQlLSloU5Zkpth5I3cjA",4.5,NA,NA,NA
"UEY70uNV3BxMbxjNmg0apg",4.5,10.5714285714286,74,7
"Qs5fQqmc_yWmgZjHcadU7g",5,7,42,6
"FJoXrkLaLh76MgHXKdJJFw",4,7,35,5
"2EhBiUnUTl_H2s4DXdKCTg",4,10.4285714285714,73,7
"MfgewgMdqCx_JWk--6PgfA",3,15,105,7
"cfjkP0icF3wdaOJQJUy9sw",2,18,126,7
"2Ezp_HYCIVE-h7hpBBvtxw",4.5,NA,NA,NA
"vfH_-o6_Gn0WE7z4fGBJ_A",4,7.4,37,5
"X2lgI8CuVEsH5UDs14rMhw",3.5,9.57142857142857,67,7
"Uv7dO93lwpq0MqGsu6-_XQ",4,8.57142857142857,60,7
"6yGSXuQdqsLiOZkOmd1Jsg",3.5,10.8571428571429,76,7
"gomzC2CMt6MD_ykOSGwdDA",4,10.0714285714286,70.5,7
"dyM6G7y6Sis61FW1tAYEPQ",4.5,NA,NA,NA
"aHuGV6FS0j8_1_p9vFeNuA",3,9.71428571428571,68,7
"h5PKBY4jvOwuyYb5Dtr6jA",4,15.5,93,6
"wdwODzBChLIh_u8V8CPpyA",3.5,10.3333333333333,62,6
"wLV7MpP_uDc2OuzFcU0ZZA",3.5,11.2857142857143,79,7
"uNBVnx12y-cRYSxukmTfnQ",4,10.5714285714286,74,7
"Yh-3IjAFCgq1Ubtdo9TDcw",4,13,78,6
"VFv7NcPW9ajUTLleJ8wOQA",3.5,11.25,78.75,7
"HW84sYbDHRVGRUXFd3wseA",3.5,NA,NA,NA
"s5XqvAOIepm0Pw8mAf27lw",4,14.6666666666667,88,6
"xRRDXfZL4V2-I7i2JLnpIA",3,NA,NA,NA
"oUk9yi2Pcu0isDYGgb7Hgg",3,21.1428571428571,148,7
"LtPnsCPkCb41VG5fQr18IQ",2,12,84,7
"nekpzd-Nsg7ZsCAIHUkhmw",3.5,9,54,6
"WuTdb365xF8kY2KAu6gm9A",3,14.7142857142857,103,7
"ocZv9DHZaf9tkJyzxL5tbg",3.5,NA,NA,NA
"yhT2iTPtvQttZxYS9cNF0A",3,12.1428571428571,85,7
"jO9gbncmBCExL_FvFKU5Ew",4,13.2857142857143,93,7
"W_hc8EBepLQNbo-OpOW4Og",2,14.4285714285714,101,7
"lSxAQR1FeSljX9zeVJTEWA",3.5,NA,NA,NA
"7WAeeunp2p8sSq44_TMxtA",2.5,NA,NA,NA
"OUUVI57dNL-1UJEgbTM2rQ",3.5,16.3571428571429,114.5,7
"pFUFVB0cPY2wL0Gr4vL3GA",2,NA,NA,NA
"30Bvo-tEfvh2KOTLQg6FZw",3.5,NA,NA,NA
"y19xFolCozaRA-gGmHwkQA",4,11.7857142857143,82.5,7
"mKoi3QV2d45Qm3iWt1aa3w",3.5,NA,NA,NA
"fPivHoeKNFhPKZEKFeoIHg",2.5,NA,NA,NA
"erxmOSNUvDCmglakNyWfKw",3,NA,NA,NA
"nlEw8XVhQ5CTEr60xaE4Pg",3.5,13.8571428571429,97,7
"NbkDsQhfK13ATV79TI4OQg",3.5,11,77,7
"FOIQ49HJ6Y5fPl8QYr34XA",3.5,10.3571428571429,72.5,7
"a-iENHYNgMdY65p9tZUj6w",2,10.5,52.5,5
"ZKBUoCqTpwMtmImz64DGyQ",3.5,10.8333333333333,65,6
"XrpWb4vB7-1z26OreeCD2w",3.5,10.5,63,6
"nWO956JzoKr1uKD3VIkp5A",3.5,NA,NA,NA
"1eJ7yIzSAjwC145fnHD5Xw",2.5,17,119,7
"3ZcxnR9YkDVRqqkDJMRWBg",4.5,10.4285714285714,73,7
"99SN6hku1PToQ2E3-4h8CA",4,14.7142857142857,103,7
"grZ6FnfZoj1pQWElAQve3g",2,NA,NA,NA
"DpBYX9W8hQzYqVLXntFetw",4.5,9.5,47.5,5
"9RiC03-rBMtulA3tS5HUZg",3,15.6428571428571,109.5,7
"ZBow_7ssh7tWEAyLIrKGtg",5,NA,NA,NA
"bOwvJUb8A9MekXsK_SrftQ",2,14.3571428571429,100.5,7
"gc4IkXZ3l7Lcmswcht-_ig",2.5,NA,NA,NA
"wp44-LcNJCUnle5JkVXkbw",2,13.7857142857143,96.5,7
"c7uYoULx6X2gWXwgsmVtsg",4.5,12.7142857142857,89,7
"S2icYFHPsV_OSCvbI3YiTg",3,NA,NA,NA
"J-PO-qnU-Cz_uh7APKDt-g",4,10.9285714285714,76.5,7
"HoWQT2R2mZeeGFChK3gSWw",4.5,6,30,5
"FIxZW5OjfBotUouYzyYSjw",2.5,NA,NA,NA
"o0--5nrZKIT5jEEnhV2Mlw",4.5,NA,NA,NA
"K7JgQSx4eaSRsjEs1dCCvA",3.5,3,12,4
"HYwbHY-srAOoH-t337DpMw",2,7.64285714285714,53.5,7
"8mcg3eCoh69WqaKKZZF98w",3,10.2857142857143,72,7
"3DQKaQN2wjWTWUN0EBwkzw",5,NA,NA,NA
"u7fc6_zgJEnEq3rEkC1gBg",3,NA,NA,NA
"NrokuoWJAy_VbMprivfAIA",3,11.1428571428571,78,7
"Mv7N0bU56dhtoDP-m2JOow",3.5,11.8571428571429,83,7
"27m3lsK3LpZm5XeGM4oVNw",4,11,66,6
"oiTq668GwyXo5hMHjdW0kA",4,12.1428571428571,85,7
"3kBa6YUwQP4A8CSt_EApIQ",3,10.5714285714286,74,7
"hzyvL2v97xLzLbLXcdi1uw",4,10.2857142857143,72,7
"qXGKYRwCR9SLgLl0g_9o5g",2.5,15,105,7
"p2X4WdGMsi26t_6hN3Hz4w",3.5,10,70,7
"KISNjnQaKGzmGritl_5OoQ",3,12,84,7
"5gXk0hdWrnJ-4hwTL5cIcg",4.5,5,35,7
"jhP9rUsV-KvgHu1n--7Q3w",3.5,10.5714285714286,74,7
"oITu5Qwnmv0hsEMc21XjXw",4,NA,NA,NA
"4sRJvmKh43AqMRrjdwEdwA",3,11.4285714285714,80,7
"RC7lOpPRVOcAq7tijy7Dwg",4,11.1428571428571,78,7
"u-Xr6P0dHS5IF3HQEg5KoQ",2.5,5,30,6
"Zd9VJFJjfaadaJmCMFv-RQ",3.5,14.6428571428571,102.5,7
"_rKz-rQPzUAIZWlUHCKgow",1.5,22.7142857142857,159,7
"uRybQLCYWkC6N19MhaHf_w",4.5,10.7857142857143,75.5,7
"8OfsvJM-TXtybas25dcGUw",2,11.6428571428571,81.5,7
"WTv4tytSf7b_rdjyoFPDYw",4.5,11.7142857142857,82,7
"b2ZukyGCS7xDlv0ZAlXdYg",4,10,50,5
"e7w5HzwQEbFQn5xB5dviZQ",5,10.5,52.5,5
"cduxK7fng02Xw9Y9uA4DGg",3.5,10,70,7
"G-GcMq-iVEENhjG3z1lZhA",4.5,NA,NA,NA
"ftkUQCPM-wFu55Ou-BzFgw",2.5,NA,NA,NA
"7HE4yPFbyimzEtVnB_nvzA",3.5,12.2857142857143,86,7
"sTmHeHv-4uZRRne5jBDzvA",2,NA,NA,NA
"p9sxVs0JlOf1K_R08ylzbA",4,NA,NA,NA
"_iUlt5rm-15QoLw0MEEg5A",3.5,14.6666666666667,88,6
"PFQU2koM2WymKJh8O6UcoA",3.5,9.71428571428571,68,7
"VOvcCzgnhyJ63r3Xk5gvpQ",1.5,NA,NA,NA
"Q_0eGl-aElqHKukHvmLdwA",4,8.33333333333333,50,6
"s2s7K5_x-W6gbCvuhtI6lw",3,NA,NA,NA
"sfuf1picFc7sVm2-AXYkog",3,NA,NA,NA
"OaDijC3QRwxw9uTadyWIsw",3.5,NA,NA,NA
"IJYqKCfeM4ePy7oqxSah7Q",2.5,11.5,80.5,7
"9q2pK0s1-3xUZKbTzVcGGw",3.5,11.5,80.5,7
"3nR6JE3hD-D-Fhzr10_k7g",3,11.3571428571429,79.5,7
"KNvqTNhpCq7Sshqzykx9QQ",4,NA,NA,NA
"PA0UJYogQTd5MIuKMs3tfA",4.5,8.42857142857143,59,7
"IBSOhov5GLSZsGzz3ZsQjg",3.5,11.3571428571429,79.5,7
"5Xe7tDL4inaiCHlZEMqczA",5,NA,NA,NA
"MtjOk7u7sp3yWyzscAIG4Q",4,10.5,52.5,5
"XKOAi4J47i-YEhhHfKkPRQ",3,11.1428571428571,78,7
"8CjI8nebSDB5aINJc3dLwA",4,13.1428571428571,92,7
"lPljcKGwLlcwkLT5cl0yDg",3,11.2,56,5
"_PKa6Dj06Q2AHKGkpJ7GnA",4.5,7.9,39.5,5
"YbsnQgu_3OmNYsCMXegeHw",4,10,70,7
"dLwj3_1dolUn6HwVQEw5uQ",3,NA,NA,NA
"Bqz24USKl4Rpb2nfGKo1XA",4.5,7.7,38.5,5
"p4jRa3qzDJtV-hSjcuNUag",3.5,NA,NA,NA
"2cfzQGANxuIGcCUrlwnV7w",2,11.9285714285714,83.5,7
"x8WI_GkeGHGJCXggDm8flg",4,11.4,57,5
"dfAWV-VltqFxkhlYu3PekA",3.5,11.2857142857143,79,7
"SVviVlZ92AOtZ5sIkvyLyA",3,10.6666666666667,64,6
"rmmIC5szAimxRnqQx3RUQg",2.5,11.2857142857143,79,7
"fHH836GXPlnwnJL14ZpGRw",4.5,NA,NA,NA
"drquCq18pgKu1lv1UzJJAQ",5,7,35,5
"ZFFT3lHAhes85gHB_0O4og",4,11.5,69,6
"bud7jZeGsrzv_3un3ov-mw",4,10.1428571428571,71,7
"LkcGDfznt-QzjL22fO3F4Q",3.5,12.8333333333333,77,6
"Cj6FN6h8EZWTcPB3h7I0Ow",4,7.57142857142857,53,7
"LBcCkRqkqJGthuqLE0t7zw",2.5,NA,NA,NA
"5nMvlKW5n2-O0tT44DYnDQ",4.5,4,12,3
"ZEOZHV1B1OCBhDI5ordGGg",5,NA,NA,NA
"NCQsIvDF9e-bNyPwKJOUBg",2.5,15,105,7
"lJc5WljtIAI6hBqzKbn_HQ",4,14,98,7
"XxmziAeRqMKwsDjyyjVgeg",3.5,6,36,6
"bSdLGMzfyNa5PcwH_00_CQ",3.5,14.7142857142857,103,7
"EBEpcviiUGlCmlB7duLrTw",3,24,168,7
"bLva9YGmDcnar3YKHE2XzA",3.5,10.7857142857143,75.5,7
"xjTZe_vgnlnsEUGHfQiOIw",3.5,NA,NA,NA
"PNl8R1SmXXgGU2ThG0qVbg",2,6.28571428571429,44,7
"8cyyRk-cqecyB1ctnRsR1A",4.5,4.4,22,5
"dog6sPiEuJfG7DNl6WwcxQ",4,18.2,91,5
"EJFdWX908N8Yc2XG0Lky8A",4,4.5,22.5,5
"iXnHrmTw-r6LNzC2MjjrWQ",4.5,9.71428571428571,68,7
"xOYJ5-WqKdGy5l4nviDU-A",3.5,12.5714285714286,88,7
"19m3NtbbP2VX-tDFJB1lKQ",3.5,NA,NA,NA
"xA6L2w_TlbxHubb1xeBE8w",4,5,30,6
"PF8HqToO6An0mH6odFoCEw",2.5,10.4285714285714,73,7
"ygb8qHro6-EHNWevravotQ",4,9.5,57,6
"Chr3YCuvt2mD-BHgqeo-OA",4,8,56,7
"67IKCF3bawHNn6nH6hotMw",4.5,NA,NA,NA
"91Up53KfAbduhQcaN7JBUQ",1,NA,NA,NA
"BY6sk5uACmes9rU7vpdzWw",4,13,91,7
"XQ1xXz3VKk5FQXNbkxbO7A",3,11.2857142857143,79,7
"zxSfGIhK3hH3vVz_pS5eaA",3,11.1666666666667,67,6
"EWJbWp3oOwDsv4Lo5eZWxw",4,13.7142857142857,96,7
"oXFRaSgcT9GwCWfC9lf8dg",4,11.7142857142857,82,7
"lRB4EvPM0L88f4meH9KcYQ",4,7.5,37.5,5
"R4i5FshghtTnTZC8EEbjHQ",4.5,14.4,72,5
"c0yPNU-BqS65u0vIKP7P0w",4,5.33333333333333,32,6
"FNf9Q2FnB9sI9kOMAgj0AQ",4.5,11.1428571428571,78,7
"N9Q2HlpqeG2NKbvqJI-REw",4,6.16666666666667,37,6
"uXft-y53ujmlAt0SH-5KYg",3.5,11,77,7
"r3PPgxuhSh2rwxPqJ2waDQ",4,10,60,6
"D2AKQk8X-SjSRHc1jzISIg",4,11.2857142857143,79,7
"F-lfG2IBiICdSxoHYmi-Vg",3.5,NA,NA,NA
"1hqOjPxgH8IXE4bNq6DFiw",3.5,12.5,75,6
"7Sr941ps7tw1Do5Eks7w-g",3,NA,NA,NA
"MesZiotyyAVuiA2HNu3UIQ",3.5,12,72,6
"oLSulsv7zuFuBL92wFssJg",4,10.0833333333333,60.5,6
"rHSOhNuRXJypsHKoe1ZjCg",1.5,11.8571428571429,83,7
"7Wt1j4gpvNwGvyN6PCbpqQ",3,NA,NA,NA
"fYvGO1IYAmGpSYlSY6VlYg",4,11.3333333333333,68,6
"uE6hI5_i4QVq12xU99xtqA",4,10.8333333333333,65,6
"CwtjAViLdvXurW67H-7G3Q",4,10.6666666666667,64,6
"7T6K5UQuEa_Ia8gZu6NoEg",4,9.66666666666667,58,6
"X7BA_EijhAWYCNuMiyNgHw",4.5,9.14285714285714,64,7
"k3SiAsI_zpPzctKmFF26kg",3,NA,NA,NA
"Eu_zPTrNVAXkpdSxf7CJ2w",4.5,12.1428571428571,85,7
"gn8cZOxQIZNUeiHcJ0WxMQ",3,NA,NA,NA
"N56-LiN3xp3xEQbl0oRHjg",4,8,40,5
"pGwfOqNEL8FbMUFspJdAMA",3.5,10.8571428571429,76,7
"7_h1D46AgX2YqZ9aKmx-Ag",4.5,11.1428571428571,78,7
"YXEasvfJsK-U5zCkZxelhQ",3.5,NA,NA,NA
"atE68d1gSZf3849yIGLBJw",4,11.7142857142857,82,7
"rOyJdbHFLn21KKRh7RlGRw",3.5,NA,NA,NA
"zf4vYcMA3WqeYGG31sBfQg",2.5,19,114,6
"zV-MIXhL1atiHTc1P1HRRA",4,11.5,57.5,5
"2xBIQyPr3Bp5YPgLScMSgg",3,NA,NA,NA
"K0MfmK34JuCO0kn9tdeSpA",4.5,18.7142857142857,131,7
"zpRSyrDdrhciCGtkL2hE-g",3,10,60,6
"8n6rB_miqJnUx6fMrweY_Q",2.5,NA,NA,NA
"-IFq5ULEK4Fl8ZzrArtB5g",4,NA,NA,NA
"cJF_93-5f5IflEFTlN4Viw",3.5,10.1428571428571,71,7
"9cgrssqswYBSpvBAKc1-nQ",2.5,14,98,7
"hnDQ_L_1IjCUVUA_G19sew",3,NA,NA,NA
"bFlP7uApDamdiVHwX8OwfA",3.5,10.8571428571429,76,7
"4svZRamnXS5aFatqggQezA",3,15.2857142857143,107,7
"p0hfV1YC5KB3Np5mek3TbQ",2.5,11,77,7
"78zibwl7zb6sekh4bG8g8g",3.5,NA,NA,NA
"7hiJOyqQ14u6IkYQ40SQUg",4,4,4,1
"64Pj9JV8jPOizCKpFI7Y2g",4,10.5714285714286,74,7
"dFO-m5EkCYXr3kztC1d1aA",3,13.5714285714286,95,7
"FRdkSUgC_SUPPNUGmgBtow",3,13.5,94.5,7
"ZfCzpZNYSWeA3Ouku2eqlA",1.5,NA,NA,NA
"FydAp4DZ6nRgayXW4IbkLg",4.5,15.8571428571429,111,7
"juu7S1nP5eirbeJ8-rfguw",3.5,11.2857142857143,79,7
"9_LwnUarlbKkTbVvP9FRdw",2,NA,NA,NA
"4t8o25f4-fCt3cVzzNM1-w",2,10.5,73.5,7
"6U5QlK84UmPUgoJAwAcL9Q",3.5,10.1666666666667,61,6
"Aes4MuZLnFqglFJNMZxRbw",4.5,3,15,5
"JeY7qm3p-K5ZhF0dPbSQwA",3.5,10.0714285714286,70.5,7
"Bty8KcQAJb2v8ZP0m9rLbg",3,NA,NA,NA
"q3KkavNYpcsgbdfeImYzKw",3.5,NA,NA,NA
"WnuRPyTEvILZKCAPk2UwYQ",2.5,NA,NA,NA
"scIbMKZIigMz4w5Q2SltTg",3.5,11.5714285714286,81,7
"ZLrDrRo1Vy03HJka4KVb9w",3.5,10.8571428571429,76,7
"SyzmdHL5CW0lEeOl86kABw",3.5,11.2857142857143,79,7
"bfZiZgeIB9txFq4Zgl1yRA",3,9.14285714285714,64,7
"v5g4Tl0Aurwr0IhQ-9GK5g",3,NA,NA,NA
"Zs-Gk02SPk_CU7NgMAVTJw",3.5,16.5,115.5,7
"bO3VN1ct-6zD8Pd0AS38rg",2,10.5,63,6
"NLH1_yRHvmvmt5ywhmfNww",3,14.4285714285714,101,7
"6V8D6uCQ-ChFap59Fc-ZoA",3.5,13.2142857142857,92.5,7
"pV-HcFpaRa7MpmFPKjG9JA",3.5,9.14285714285714,64,7
"CZNeNfo_6C8d3lFbkL_8vA",1,18.2857142857143,128,7
"3uP7K1VgnSdEieDoH00A4g",2,11.2857142857143,79,7
"c_5MMZaYFmLgrbSg6YI42g",4.5,NA,NA,NA
"ydV_pHucakfLGO2TGo02XQ",4,10,70,7
"HWVCdxCYicHA7plfXr-vMg",3,11.2857142857143,79,7
"gKCQMUVa31kLInYxaAkiLA",3,8.57142857142857,60,7
"lYSV7xI8lhO76kZs-z2MOw",3.5,4,12,3
"5CjdVHY504ccwZ2n3uyPOA",1.5,24,168,7
"462vn0tiPlmWRcP71yYOTQ",4,11.0714285714286,77.5,7
"OsicKntF7sTdQiYU_AcNEA",4,8,40,5
"knTWF9RTyOruCC1TT0PDMQ",4.5,NA,NA,NA
"_m0RpgtUHumT6gN0wWV4vQ",2.5,9.28571428571429,65,7
"xV-eHEpcBZzsO4FMvJd2zw",4,NA,NA,NA
"WQAQ6IrxRMz4U22Y79-CuA",4.5,NA,NA,NA
"2N6rQXypsq9P8Aiw62YzJQ",3,11.2857142857143,79,7
"ypSDELi0xMgoChahZkB3NA",5,NA,NA,NA
"JzB7NITHQ7gVHGVZ1ntgIQ",3,13.8571428571429,97,7
"KowfRkKCR1qYzIM3-M6FBA",4,10.8571428571429,76,7
"AfBmTieD9rNsas2VLMy-EQ",2.5,NA,NA,NA
"pJsJBzOeBIV9pOWMuq-vMw",4,13.2,66,5
"geVM8YqBzb_8kXR2Z0YsCA",3.5,13.7142857142857,96,7
"j4jsgp-e315s11ehJfRzAA",3.5,10.3333333333333,62,6
"XUDOc980cjB0PZvVS-T6Eg",3.5,13.7142857142857,96,7
"WB8BmFMORvshjb7tBw0e0Q",3.5,9.71428571428571,68,7
"bKj_nnb2wyXduNoFXDeR9w",4.5,9,45,5
"qHseX2NHeUUedIgs_VasZA",4,13.7142857142857,96,7
"-u4r4iIVk8wO1Morjhq05w",5,12,84,7
"3F3At4YBSHEnG7uMinQPnQ",2.5,13,91,7
"tB_SvIaU0KmMgrM4kLPW8Q",4,15.25,91.5,6
"qfBp53c7Z2DpqUrGhV80zg",4,10.1428571428571,71,7
"EXF-imcOSptiuzlirPjljA",4.5,12.5,75,6
"hDD6-yk1yuuRIvfdtHsISg",3,11,77,7
"EUgHFeAvock2Ut3iWPlG8Q",2.5,21.2857142857143,149,7
"iv_oAa5fd2BBWc02qcMDvg",4,NA,NA,NA
"X9WJuPwL1-k1VzExlGXdTg",2.5,12.5714285714286,88,7
"of-a3UqUN5iz-ttBf0knig",3.5,9.83333333333333,59,6
"KwfKAnIRcLFXotqVsR-6Xw",3.5,13,78,6
"QQ4763IteaX73s6-1d68dw",4,5.78571428571429,40.5,7
"NgRHGolh0rjDh_xd3aEqlA",4.5,11.5,69,6
"R7eLlAdeIYsxux_Vm0l5sg",3.5,12,84,7
"QID6lFz37QHS2ocwM9kOGA",4.5,NA,NA,NA
"w6bRFK2rsO4dRb6xhw_TtA",4.5,17,119,7
"jZARZjPedelwxgCmVRgBQg",4,NA,NA,NA
"Rcc2zK76CsRhQSAXCQusDQ",3.5,15,105,7
"LNAI2hGXzAFq_9KFwpdshg",2.5,14.5714285714286,102,7
"QEBS_iXJeUvZEP-tvoGAkg",4,NA,NA,NA
"sdh27i5q0EcAKagBDNQw3A",4.5,5.4,27,5
"SpXBHrRfXJdocVkQa16zxg",3,11.2857142857143,79,7
"njdz0sOFfsawcBi6jpKNhA",3.5,11.1428571428571,78,7
"i3aIqwqXejQVMKBHKeMUig",4.5,11,77,7
"6ijZO9TWdl6lTLqe5G5XWA",2,11.5714285714286,81,7
"tj_fehXLxdGMjyLY-mTXRg",4.5,11,77,7
"nwNdRUbU0_JnISxvdDfWtQ",4,12,84,7
"3uda_ctDzaN8_bJsy5hVsg",4.5,8,56,7
"KzLjbXEDH1e1WrfzrrzZKw",3,10,60,6
"DEsBsSuyiNWYJyR0KEok2Q",2.5,NA,NA,NA
"z4GLHQ2-o0p6Ia4q_4j4HA",3.5,14.0714285714286,98.5,7
"QN-Jwhwvv3ZGTg8bXZXAyg",1.5,13.7857142857143,96.5,7
"WhXlv34bw0-112MqSPmCHw",3,11.7142857142857,82,7
"XqNDr54eLDLRfZwo4l4dVA",3,12.3571428571429,86.5,7
"5oA6zlmJ4jQREDH6dNCq6w",4.5,6.5,32.5,5
"usCGyfoTxOYOqygtI9orUA",4,NA,NA,NA
"k3WyM7vM-4nKxJQaFBdwJA",4.5,10.2857142857143,72,7
"bGdsMEAf6cijRl-trr1iCg",4,8.4,42,5
"NdqDt4c2ZWpGTUWvcDDKkw",2,NA,NA,NA
"XaTts7L8g57_odPEFuwkOw",3.5,11,66,6
"nEM2L6X1lp0H44DwTTLy0Q",4,8.66666666666667,52,6
"4CE_jyoNwSYkorer13G5OQ",3.5,11.1428571428571,78,7
"gxi-tnX_ze-VTYAVSyvEpA",4,8.92857142857143,62.5,7
"9nTF596jDvBBia2EXXiOOg",3,10.1666666666667,61,6
"xR4RLy-6LtX0cLOTchBDtg",3.5,NA,NA,NA
"RqmORv3974ZDC6Zh4nSQwg",4,10.6428571428571,74.5,7
"pHpOuNf02eMyhdCnvMQGhg",2,11.2857142857143,79,7
"GVibYzmbi-UVSO_vqMdu8w",4.5,6.83333333333333,41,6
"kGDzJFasIHxrH0EAa_oSWQ",2.5,NA,NA,NA
