,business_id,stars,bad_num,good_num
49,krc4tD-xlMKDdjCJVjG42g,4.5,18,43
50,jd1rD7jr-_zI46Oxh5lDLA,3.5,52,107
51,09pf_DnQV5Y5y2reoIPXlw,3.5,176,333
52,B1dCyA21u1mG1bcrq9TTYg,3.0,64,105
53,V2TaLceKiGwy-y7bAGzPuQ,1.5,17,13
54,jz-LsE7pZd10iYbCYmGQeA,4.0,47,110
55,-WVF5DKZeEWlMK8Cucto-A,3.5,836,2179
56,R2hVz1386VvoPFLdUbJyDQ,3.5,13,55
57,eY3A2vtjccBfMXaybhS0yQ,3.5,13,38
58,cvM7SnDFJdaUGJXxzz_Z2Q,3.0,8,22
59,R-GbmmHHfAyPo1qs4jo0TA,3.0,446,935
60,fYUS9YkYPccCx9eaYc9t5g,4.0,34,114
61,hFkY-4JhWPc2LDRj2eyBSA,3.0,14,19
62,FE135tFrIhxrtAkf6-A1Rw,4.0,58,125
63,z4CYPDxL_L74GnaD35a9Yw,3.5,286,797
64,24hc1g8a7besgI0tMb3v7w,3.5,92,158
65,TYZIMuHwhZo_Hizenmf8Pg,3.0,330,763
66,by7BOr074_BKz7hkRIi9WQ,3.5,55,153
67,DtIcA3yhAPrntUBfRJNwuw,5.0,49,208
68,I5TgzHGJI3jvJq6xdauLPA,3.5,45,104
69,lK_iVjCur58if_XcbENGqg,4.0,127,374
70,WAGESBe_9h_au35adjvoQQ,4.5,31,110
71,dmo24Ig-qTb2BVggAmh05A,4.0,34,72
72,hNmSL-HfN_IdPlWXP1ILEw,4.5,50,115
73,ZL6BK8wweb-8ncJ7kFIG-A,4.5,162,415
74,b6vi3Ub0tbGzGtG-pVgJfQ,4.5,30,89
75,dJ0R-XT78LUQeNHQkD-G9g,3.5,10,19
76,BxWRVYVepLmhTf3TAlRUlw,3.5,13,19
77,Xdoqt46KMRBiaWWMa41m1A,4.0,11,51
78,5crOt_2vpHfFeGOrEeROQA,4.5,69,210
79,uarJTrBc8VsXlZm9qlQVAw,5.0,9,46
80,uFGmCUqJc0vy57IF_26u1g,4.0,7,30
81,RcsfZ7IrWSNvM1AYcLmWNw,3.0,41,79
82,0IfrcGbFzQvn9w8bl9GKDg,4.5,137,374
83,HmFmaoQ1LrjvNZJSy-R7Iw,4.5,17,57
84,PbOQlLSloU5Zkpth5I3cjA,4.5,15,53
85,UEY70uNV3BxMbxjNmg0apg,4.5,87,313
86,Qs5fQqmc_yWmgZjHcadU7g,5.0,12,46
87,FJoXrkLaLh76MgHXKdJJFw,4.0,205,614
88,2EhBiUnUTl_H2s4DXdKCTg,4.0,620,2066
89,MfgewgMdqCx_JWk--6PgfA,3.0,248,427
90,cfjkP0icF3wdaOJQJUy9sw,2.0,139,183
91,2Ezp_HYCIVE-h7hpBBvtxw,4.5,16,60
92,vfH_-o6_Gn0WE7z4fGBJ_A,4.0,75,307
93,X2lgI8CuVEsH5UDs14rMhw,3.5,235,581
94,Uv7dO93lwpq0MqGsu6-_XQ,4.0,10,36
95,6yGSXuQdqsLiOZkOmd1Jsg,3.5,29,84
96,gomzC2CMt6MD_ykOSGwdDA,4.0,286,1043
97,dyM6G7y6Sis61FW1tAYEPQ,4.5,48,242
98,aHuGV6FS0j8_1_p9vFeNuA,3.0,219,436
99,h5PKBY4jvOwuyYb5Dtr6jA,4.0,132,294
100,wdwODzBChLIh_u8V8CPpyA,3.5,565,1118
101,wLV7MpP_uDc2OuzFcU0ZZA,3.5,198,553
102,uNBVnx12y-cRYSxukmTfnQ,4.0,28,101
103,Yh-3IjAFCgq1Ubtdo9TDcw,4.0,84,220
104,VFv7NcPW9ajUTLleJ8wOQA,3.5,216,373
105,HW84sYbDHRVGRUXFd3wseA,3.5,40,79
106,s5XqvAOIepm0Pw8mAf27lw,4.0,7,17
107,xRRDXfZL4V2-I7i2JLnpIA,3.0,53,97
108,oUk9yi2Pcu0isDYGgb7Hgg,3.0,52,85
109,LtPnsCPkCb41VG5fQr18IQ,2.0,36,95
110,nekpzd-Nsg7ZsCAIHUkhmw,3.5,35,62
111,WuTdb365xF8kY2KAu6gm9A,3.0,32,47
112,ocZv9DHZaf9tkJyzxL5tbg,3.5,24,83
113,yhT2iTPtvQttZxYS9cNF0A,3.0,87,210
114,jO9gbncmBCExL_FvFKU5Ew,4.0,67,105
115,W_hc8EBepLQNbo-OpOW4Og,2.0,46,91
116,lSxAQR1FeSljX9zeVJTEWA,3.5,61,134
117,7WAeeunp2p8sSq44_TMxtA,2.5,20,29
118,OUUVI57dNL-1UJEgbTM2rQ,3.5,41,110
119,pFUFVB0cPY2wL0Gr4vL3GA,2.0,20,32
120,30Bvo-tEfvh2KOTLQg6FZw,3.5,15,30
121,y19xFolCozaRA-gGmHwkQA,4.0,186,590
122,mKoi3QV2d45Qm3iWt1aa3w,3.5,16,35
123,fPivHoeKNFhPKZEKFeoIHg,2.5,11,13
124,erxmOSNUvDCmglakNyWfKw,3.0,25,59
125,nlEw8XVhQ5CTEr60xaE4Pg,3.5,4,15
126,NbkDsQhfK13ATV79TI4OQg,3.5,36,63
127,FOIQ49HJ6Y5fPl8QYr34XA,3.5,76,169
128,a-iENHYNgMdY65p9tZUj6w,2.0,13,20
129,ZKBUoCqTpwMtmImz64DGyQ,3.5,27,61
130,XrpWb4vB7-1z26OreeCD2w,3.5,183,605
131,nWO956JzoKr1uKD3VIkp5A,3.5,15,41
132,1eJ7yIzSAjwC145fnHD5Xw,2.5,75,150
133,3ZcxnR9YkDVRqqkDJMRWBg,4.5,12,58
134,99SN6hku1PToQ2E3-4h8CA,4.0,203,516
135,grZ6FnfZoj1pQWElAQve3g,2.0,101,131
136,DpBYX9W8hQzYqVLXntFetw,4.5,18,68
137,9RiC03-rBMtulA3tS5HUZg,3.0,131,187
138,ZBow_7ssh7tWEAyLIrKGtg,5.0,23,77
139,bOwvJUb8A9MekXsK_SrftQ,2.0,71,111
140,gc4IkXZ3l7Lcmswcht-_ig,2.5,14,19
141,wp44-LcNJCUnle5JkVXkbw,2.0,42,89
142,c7uYoULx6X2gWXwgsmVtsg,4.5,20,43
143,S2icYFHPsV_OSCvbI3YiTg,3.0,19,13
144,J-PO-qnU-Cz_uh7APKDt-g,4.0,8,36
145,HoWQT2R2mZeeGFChK3gSWw,4.5,5,19
146,FIxZW5OjfBotUouYzyYSjw,2.5,17,22
147,o0--5nrZKIT5jEEnhV2Mlw,4.5,7,37
148,K7JgQSx4eaSRsjEs1dCCvA,3.5,13,46
149,HYwbHY-srAOoH-t337DpMw,2.0,154,276
150,8mcg3eCoh69WqaKKZZF98w,3.0,164,271
151,3DQKaQN2wjWTWUN0EBwkzw,5.0,38,131
152,u7fc6_zgJEnEq3rEkC1gBg,3.0,16,34
153,NrokuoWJAy_VbMprivfAIA,3.0,178,443
154,Mv7N0bU56dhtoDP-m2JOow,3.5,1406,3477
155,27m3lsK3LpZm5XeGM4oVNw,4.0,64,150
156,oiTq668GwyXo5hMHjdW0kA,4.0,689,1599
157,3kBa6YUwQP4A8CSt_EApIQ,3.0,273,619
158,hzyvL2v97xLzLbLXcdi1uw,4.0,547,1768
159,qXGKYRwCR9SLgLl0g_9o5g,2.5,559,894
160,p2X4WdGMsi26t_6hN3Hz4w,3.5,242,610
161,KISNjnQaKGzmGritl_5OoQ,3.0,17,25
162,5gXk0hdWrnJ-4hwTL5cIcg,4.5,27,92
163,jhP9rUsV-KvgHu1n--7Q3w,3.5,74,225
164,oITu5Qwnmv0hsEMc21XjXw,4.0,20,43
165,4sRJvmKh43AqMRrjdwEdwA,3.0,300,679
166,RC7lOpPRVOcAq7tijy7Dwg,4.0,71,175
167,u-Xr6P0dHS5IF3HQEg5KoQ,2.5,92,142
168,Zd9VJFJjfaadaJmCMFv-RQ,3.5,456,1052
169,_rKz-rQPzUAIZWlUHCKgow,1.5,89,82
170,uRybQLCYWkC6N19MhaHf_w,4.5,692,1953
171,8OfsvJM-TXtybas25dcGUw,2.0,10,20
172,WTv4tytSf7b_rdjyoFPDYw,4.5,35,130
173,b2ZukyGCS7xDlv0ZAlXdYg,4.0,119,350
174,e7w5HzwQEbFQn5xB5dviZQ,5.0,9,54
175,cduxK7fng02Xw9Y9uA4DGg,3.5,88,219
176,G-GcMq-iVEENhjG3z1lZhA,4.5,37,135
177,ftkUQCPM-wFu55Ou-BzFgw,2.5,37,80
178,7HE4yPFbyimzEtVnB_nvzA,3.5,80,149
179,sTmHeHv-4uZRRne5jBDzvA,2.0,18,17
180,p9sxVs0JlOf1K_R08ylzbA,4.0,24,54
181,_iUlt5rm-15QoLw0MEEg5A,3.5,170,353
182,PFQU2koM2WymKJh8O6UcoA,3.5,271,736
183,VOvcCzgnhyJ63r3Xk5gvpQ,1.5,6,11
184,Q_0eGl-aElqHKukHvmLdwA,4.0,85,165
185,s2s7K5_x-W6gbCvuhtI6lw,3.0,33,64
186,sfuf1picFc7sVm2-AXYkog,3.0,63,140
187,OaDijC3QRwxw9uTadyWIsw,3.5,6,20
188,IJYqKCfeM4ePy7oqxSah7Q,2.5,10,18
189,9q2pK0s1-3xUZKbTzVcGGw,3.5,10,9
190,3nR6JE3hD-D-Fhzr10_k7g,3.0,833,1771
191,KNvqTNhpCq7Sshqzykx9QQ,4.0,1,9
192,PA0UJYogQTd5MIuKMs3tfA,4.5,91,277
193,IBSOhov5GLSZsGzz3ZsQjg,3.5,22,57
194,5Xe7tDL4inaiCHlZEMqczA,5.0,25,106
195,MtjOk7u7sp3yWyzscAIG4Q,4.0,167,494
196,XKOAi4J47i-YEhhHfKkPRQ,3.0,32,48
197,8CjI8nebSDB5aINJc3dLwA,4.0,33,97
198,lPljcKGwLlcwkLT5cl0yDg,3.0,33,91
199,_PKa6Dj06Q2AHKGkpJ7GnA,4.5,82,246
200,YbsnQgu_3OmNYsCMXegeHw,4.0,158,501
201,dLwj3_1dolUn6HwVQEw5uQ,3.0,30,52
202,Bqz24USKl4Rpb2nfGKo1XA,4.5,219,676
203,p4jRa3qzDJtV-hSjcuNUag,3.5,152,365
204,2cfzQGANxuIGcCUrlwnV7w,2.0,144,170
205,x8WI_GkeGHGJCXggDm8flg,4.0,500,1431
206,dfAWV-VltqFxkhlYu3PekA,3.5,30,85
207,SVviVlZ92AOtZ5sIkvyLyA,3.0,2,6
208,rmmIC5szAimxRnqQx3RUQg,2.5,23,25
209,fHH836GXPlnwnJL14ZpGRw,4.5,80,320
210,drquCq18pgKu1lv1UzJJAQ,5.0,49,166
211,ZFFT3lHAhes85gHB_0O4og,4.0,52,159
212,bud7jZeGsrzv_3un3ov-mw,4.0,327,678
213,LkcGDfznt-QzjL22fO3F4Q,3.5,451,1009
214,Cj6FN6h8EZWTcPB3h7I0Ow,4.0,84,240
215,LBcCkRqkqJGthuqLE0t7zw,2.5,26,36
216,5nMvlKW5n2-O0tT44DYnDQ,4.5,88,403
217,ZEOZHV1B1OCBhDI5ordGGg,5.0,3,4
218,NCQsIvDF9e-bNyPwKJOUBg,2.5,355,577
219,lJc5WljtIAI6hBqzKbn_HQ,4.0,19,87
220,XxmziAeRqMKwsDjyyjVgeg,3.5,517,1047
221,bSdLGMzfyNa5PcwH_00_CQ,3.5,3,21
222,EBEpcviiUGlCmlB7duLrTw,3.0,64,142
223,bLva9YGmDcnar3YKHE2XzA,3.5,131,332
224,xjTZe_vgnlnsEUGHfQiOIw,3.5,15,52
225,PNl8R1SmXXgGU2ThG0qVbg,2.0,262,415
226,8cyyRk-cqecyB1ctnRsR1A,4.5,218,718
227,dog6sPiEuJfG7DNl6WwcxQ,4.0,32,122
228,EJFdWX908N8Yc2XG0Lky8A,4.0,20,55
229,iXnHrmTw-r6LNzC2MjjrWQ,4.5,89,259
230,xOYJ5-WqKdGy5l4nviDU-A,3.5,109,245
231,19m3NtbbP2VX-tDFJB1lKQ,3.5,5,11
232,xA6L2w_TlbxHubb1xeBE8w,4.0,439,1194
233,PF8HqToO6An0mH6odFoCEw,2.5,39,55
234,ygb8qHro6-EHNWevravotQ,4.0,13,40
235,Chr3YCuvt2mD-BHgqeo-OA,4.0,708,1805
236,67IKCF3bawHNn6nH6hotMw,4.5,46,163
237,91Up53KfAbduhQcaN7JBUQ,1.0,32,33
238,BY6sk5uACmes9rU7vpdzWw,4.0,192,502
239,XQ1xXz3VKk5FQXNbkxbO7A,3.0,154,215
240,zxSfGIhK3hH3vVz_pS5eaA,3.0,471,1050
241,EWJbWp3oOwDsv4Lo5eZWxw,4.0,263,689
242,oXFRaSgcT9GwCWfC9lf8dg,4.0,189,414
243,lRB4EvPM0L88f4meH9KcYQ,4.0,124,470
244,R4i5FshghtTnTZC8EEbjHQ,4.5,93,371
245,c0yPNU-BqS65u0vIKP7P0w,4.0,1201,3199
246,FNf9Q2FnB9sI9kOMAgj0AQ,4.5,24,94
247,N9Q2HlpqeG2NKbvqJI-REw,4.0,209,780
248,uXft-y53ujmlAt0SH-5KYg,3.5,172,347
249,r3PPgxuhSh2rwxPqJ2waDQ,4.0,81,247
250,D2AKQk8X-SjSRHc1jzISIg,4.0,7,28
251,F-lfG2IBiICdSxoHYmi-Vg,3.5,68,106
252,1hqOjPxgH8IXE4bNq6DFiw,3.5,422,815
253,7Sr941ps7tw1Do5Eks7w-g,3.0,21,55
254,MesZiotyyAVuiA2HNu3UIQ,3.5,10,16
255,oLSulsv7zuFuBL92wFssJg,4.0,322,945
256,rHSOhNuRXJypsHKoe1ZjCg,1.5,81,100
257,7Wt1j4gpvNwGvyN6PCbpqQ,3.0,53,132
258,fYvGO1IYAmGpSYlSY6VlYg,4.0,21,26
259,uE6hI5_i4QVq12xU99xtqA,4.0,153,455
260,CwtjAViLdvXurW67H-7G3Q,4.0,141,353
261,7T6K5UQuEa_Ia8gZu6NoEg,4.0,72,213
262,X7BA_EijhAWYCNuMiyNgHw,4.5,106,507
263,k3SiAsI_zpPzctKmFF26kg,3.0,37,100
264,Eu_zPTrNVAXkpdSxf7CJ2w,4.5,24,89
265,gn8cZOxQIZNUeiHcJ0WxMQ,3.0,19,24
266,N56-LiN3xp3xEQbl0oRHjg,4.0,32,57
267,pGwfOqNEL8FbMUFspJdAMA,3.5,483,1042
268,7_h1D46AgX2YqZ9aKmx-Ag,4.5,75,345
269,YXEasvfJsK-U5zCkZxelhQ,3.5,20,40
270,atE68d1gSZf3849yIGLBJw,4.0,27,61
271,rOyJdbHFLn21KKRh7RlGRw,3.5,58,131
272,zf4vYcMA3WqeYGG31sBfQg,2.5,130,174
273,zV-MIXhL1atiHTc1P1HRRA,4.0,29,63
274,2xBIQyPr3Bp5YPgLScMSgg,3.0,216,414
275,K0MfmK34JuCO0kn9tdeSpA,4.5,20,60
276,zpRSyrDdrhciCGtkL2hE-g,3.0,43,103
277,8n6rB_miqJnUx6fMrweY_Q,2.5,23,22
278,-IFq5ULEK4Fl8ZzrArtB5g,4.0,10,49
279,cJF_93-5f5IflEFTlN4Viw,3.5,36,114
280,9cgrssqswYBSpvBAKc1-nQ,2.5,31,43
281,hnDQ_L_1IjCUVUA_G19sew,3.0,17,15
282,bFlP7uApDamdiVHwX8OwfA,3.5,49,133
283,4svZRamnXS5aFatqggQezA,3.0,4,19
284,p0hfV1YC5KB3Np5mek3TbQ,2.5,37,63
285,78zibwl7zb6sekh4bG8g8g,3.5,17,30
286,7hiJOyqQ14u6IkYQ40SQUg,4.0,11,42
287,64Pj9JV8jPOizCKpFI7Y2g,4.0,14,51
288,dFO-m5EkCYXr3kztC1d1aA,3.0,317,661
289,FRdkSUgC_SUPPNUGmgBtow,3.0,7,30
290,ZfCzpZNYSWeA3Ouku2eqlA,1.5,9,24
291,FydAp4DZ6nRgayXW4IbkLg,4.5,15,23
292,juu7S1nP5eirbeJ8-rfguw,3.5,485,1221
293,9_LwnUarlbKkTbVvP9FRdw,2.0,31,41
294,4t8o25f4-fCt3cVzzNM1-w,2.0,42,31
295,6U5QlK84UmPUgoJAwAcL9Q,3.5,185,379
296,Aes4MuZLnFqglFJNMZxRbw,4.5,44,200
297,JeY7qm3p-K5ZhF0dPbSQwA,3.5,23,68
298,Bty8KcQAJb2v8ZP0m9rLbg,3.0,69,122
299,q3KkavNYpcsgbdfeImYzKw,3.5,59,151
300,WnuRPyTEvILZKCAPk2UwYQ,2.5,37,43
301,scIbMKZIigMz4w5Q2SltTg,3.5,240,471
302,ZLrDrRo1Vy03HJka4KVb9w,3.5,176,435
303,SyzmdHL5CW0lEeOl86kABw,3.5,44,99
304,bfZiZgeIB9txFq4Zgl1yRA,3.0,172,375
305,v5g4Tl0Aurwr0IhQ-9GK5g,3.0,14,37
306,Zs-Gk02SPk_CU7NgMAVTJw,3.5,58,183
307,bO3VN1ct-6zD8Pd0AS38rg,2.0,62,98
308,NLH1_yRHvmvmt5ywhmfNww,3.0,36,57
309,6V8D6uCQ-ChFap59Fc-ZoA,3.5,123,316
310,pV-HcFpaRa7MpmFPKjG9JA,3.5,71,168
311,CZNeNfo_6C8d3lFbkL_8vA,1.0,39,51
312,3uP7K1VgnSdEieDoH00A4g,2.0,12,31
313,c_5MMZaYFmLgrbSg6YI42g,4.5,23,53
314,ydV_pHucakfLGO2TGo02XQ,4.0,14,24
315,HWVCdxCYicHA7plfXr-vMg,3.0,246,416
316,gKCQMUVa31kLInYxaAkiLA,3.0,20,47
317,lYSV7xI8lhO76kZs-z2MOw,3.5,74,111
318,5CjdVHY504ccwZ2n3uyPOA,1.5,10,11
319,462vn0tiPlmWRcP71yYOTQ,4.0,125,398
320,OsicKntF7sTdQiYU_AcNEA,4.0,24,59
321,knTWF9RTyOruCC1TT0PDMQ,4.5,3,15
322,_m0RpgtUHumT6gN0wWV4vQ,2.5,58,64
323,xV-eHEpcBZzsO4FMvJd2zw,4.0,25,58
324,WQAQ6IrxRMz4U22Y79-CuA,4.5,5,31
325,2N6rQXypsq9P8Aiw62YzJQ,3.0,71,159
326,ypSDELi0xMgoChahZkB3NA,5.0,8,26
327,JzB7NITHQ7gVHGVZ1ntgIQ,3.0,345,575
328,KowfRkKCR1qYzIM3-M6FBA,4.0,620,1340
329,AfBmTieD9rNsas2VLMy-EQ,2.5,44,68
330,pJsJBzOeBIV9pOWMuq-vMw,4.0,673,1915
331,geVM8YqBzb_8kXR2Z0YsCA,3.5,620,1262
332,j4jsgp-e315s11ehJfRzAA,3.5,493,1152
333,XUDOc980cjB0PZvVS-T6Eg,3.5,289,780
334,WB8BmFMORvshjb7tBw0e0Q,3.5,528,1207
335,bKj_nnb2wyXduNoFXDeR9w,4.5,14,89
336,qHseX2NHeUUedIgs_VasZA,4.0,602,2151
337,-u4r4iIVk8wO1Morjhq05w,5.0,14,46
338,3F3At4YBSHEnG7uMinQPnQ,2.5,57,150
339,tB_SvIaU0KmMgrM4kLPW8Q,4.0,269,645
340,qfBp53c7Z2DpqUrGhV80zg,4.0,274,838
341,EXF-imcOSptiuzlirPjljA,4.5,183,749
342,hDD6-yk1yuuRIvfdtHsISg,3.0,1551,2894
343,EUgHFeAvock2Ut3iWPlG8Q,2.5,59,98
344,iv_oAa5fd2BBWc02qcMDvg,4.0,35,96
345,X9WJuPwL1-k1VzExlGXdTg,2.5,22,48
346,of-a3UqUN5iz-ttBf0knig,3.5,98,208
347,KwfKAnIRcLFXotqVsR-6Xw,3.5,132,241
348,QQ4763IteaX73s6-1d68dw,4.0,106,272
349,NgRHGolh0rjDh_xd3aEqlA,4.5,11,42
350,R7eLlAdeIYsxux_Vm0l5sg,3.5,172,446
351,QID6lFz37QHS2ocwM9kOGA,4.5,5,36
352,w6bRFK2rsO4dRb6xhw_TtA,4.5,33,96
353,jZARZjPedelwxgCmVRgBQg,4.0,19,67
354,Rcc2zK76CsRhQSAXCQusDQ,3.5,10,33
355,LNAI2hGXzAFq_9KFwpdshg,2.5,451,741
356,QEBS_iXJeUvZEP-tvoGAkg,4.0,8,21
357,sdh27i5q0EcAKagBDNQw3A,4.5,391,1340
358,SpXBHrRfXJdocVkQa16zxg,3.0,197,333
359,njdz0sOFfsawcBi6jpKNhA,3.5,75,180
360,i3aIqwqXejQVMKBHKeMUig,4.5,27,96
361,6ijZO9TWdl6lTLqe5G5XWA,2.0,27,41
362,tj_fehXLxdGMjyLY-mTXRg,4.5,5,58
363,nwNdRUbU0_JnISxvdDfWtQ,4.0,13,35
364,3uda_ctDzaN8_bJsy5hVsg,4.5,46,180
365,KzLjbXEDH1e1WrfzrrzZKw,3.0,283,585
366,DEsBsSuyiNWYJyR0KEok2Q,2.5,34,44
367,z4GLHQ2-o0p6Ia4q_4j4HA,3.5,117,185
368,QN-Jwhwvv3ZGTg8bXZXAyg,1.5,30,55
369,WhXlv34bw0-112MqSPmCHw,3.0,13,24
370,XqNDr54eLDLRfZwo4l4dVA,3.0,120,264
371,5oA6zlmJ4jQREDH6dNCq6w,4.5,80,233
372,usCGyfoTxOYOqygtI9orUA,4.0,8,40
373,k3WyM7vM-4nKxJQaFBdwJA,4.5,55,119
374,bGdsMEAf6cijRl-trr1iCg,4.0,112,232
375,NdqDt4c2ZWpGTUWvcDDKkw,2.0,73,81
376,XaTts7L8g57_odPEFuwkOw,3.5,13,16
377,nEM2L6X1lp0H44DwTTLy0Q,4.0,54,141
378,4CE_jyoNwSYkorer13G5OQ,3.5,206,525
379,gxi-tnX_ze-VTYAVSyvEpA,4.0,36,123
380,9nTF596jDvBBia2EXXiOOg,3.0,353,772
381,xR4RLy-6LtX0cLOTchBDtg,3.5,13,45
382,RqmORv3974ZDC6Zh4nSQwg,4.0,485,1401
383,pHpOuNf02eMyhdCnvMQGhg,2.0,359,568
384,GVibYzmbi-UVSO_vqMdu8w,4.5,9,57
385,kGDzJFasIHxrH0EAa_oSWQ,2.5,140,209
386,7-G-Aq-6TxwPAjz5YPz_LA,3.5,96,233
387,qAzOcHnWerREl678su-p0A,2.5,100,147
388,VUDwlypqw1-DTK_lfEP4jg,3.0,36,78
389,kHVXISoSMdgKySGiUVhhtw,3.0,304,673
390,3TrY8CpsnvnTTYigx2R4yg,4.0,722,1654
391,uj9hDVeJE0r8DPJZwFulyw,1.5,10,8
392,KvlaL5wejWOaZayBxP_vUQ,3.0,46,99
393,wdhrZm2mIiRk3qsCDC_HvQ,4.0,131,206
394,7z2x16M7IuG8KPfMsyVrKA,4.5,1099,3305
395,q6BzQz426uH6rB7bmZvexQ,3.0,176,304
396,xwbGcSn_xPWwssVYwGDDQw,4.0,62,187
397,5kYvHKRLEyYXqLkiY9OrOw,4.5,9,66
398,BKmKEdTZOdrOA0yHPcvjHw,5.0,43,164
399,IakOnLeTFBvJvcxxBHQq_Q,3.5,73,159
400,fZadRslL_7WwgZfVD6DYnw,4.0,42,104
401,A4kCvILTgfr_2cG0_yGNiw,3.5,686,1369
402,Perap0eAyCbUx4r4rQTSnA,4.0,88,201
403,o47aY911-1rK9tHeXOWxFg,4.0,197,781
404,cozegmdHNzyxNqUp3KVKUA,4.0,253,579
405,bjr8Uyi-r6xDeXVAhSX-cA,2.0,67,93
406,nlVjdQq9FzdQ3bfy-8y80g,4.0,1261,3642
407,vXEZ-r6fah-5Fjt3a6c-Gw,3.5,1200,2501
408,GDXftPS1_fTJUtZkaEUDhA,4.0,44,183
409,6OV-xbmgjdXUZ80BdjXfJQ,3.0,79,112
410,DGeupkmvo1X1oKn-sv9UQA,3.0,316,658
411,F5xKTQB4lFfwtUNDeaqEgQ,3.0,137,251
412,F4k0RVMbEPfo5a372q-m8g,3.5,206,503
413,K6AKMjAdCSe8xllsbyeL9Q,3.0,163,343
414,hcFSc0OHgZJybnjQBrL_8Q,4.0,1819,5550
415,FxLfqxdYPA6Z85PFKaqLrg,2.0,211,296
416,xePC2Iu32dgHzP892OHIUw,1.5,43,59
417,R0DxkEWJfJYBxkeEds9v6w,3.5,56,163
418,pns5NH--mhuCC1vK-xbYsA,3.5,55,184
419,st94oDmGS6qTMyt52tKSpg,3.0,99,148
420,Ul6JwluSTm12PVDIqnNaTg,4.0,2741,6973
421,iR7KBgAHgt1O2acHhfIviw,2.5,55,60
422,x6ZvzAJRbj_anOuACYsiSQ,4.5,27,56
423,kWwm_fHthKL-xIykOrR93A,2.5,41,59
424,kWcAfYg-60hpIUEUSzWjHQ,4.0,85,177
425,Wfbk7jzfcVanr7KKyQp8zQ,4.0,42,154
426,1m4zUU1cioq1tKLiLvlDgA,3.5,5,29
427,Iwoc2I0iWMhkmISUeDHYew,4.0,111,366
428,TtbMUjZMMloSZR9l2TrcAQ,1.0,8,9
429,41LxL4cESUpvenFmcdwm0w,4.0,18,42
430,zoGfGoGiw0plUKeD4I2-oA,4.0,6,27
431,rjKMTKPsjYw4RtiMpHquJA,3.0,81,165
